#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID
Hvem spiller Dominic Toretto, som er leder for en gjeng racerkjørere i 'Fast & Furious'-filmene?;Vin Diesel (f. 1967);Film;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hva heter den danske byen som ligger like ved Legoland?;Billund;Geografi;22d97f87-72a7-4664-b7f4-bb1eafbcd374
I hvilken europeisk hovedstad kan man besøke Pergamon-museet, som er kjent for sine mange kunstskatter fra Midtøsten?;Berlin;Historie;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hva heter verktøyet som man bruker til å måle om et bilde henger vannrett?;Vater;Hverdag;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hvilken rett kjennetegnes ved at ris sauteres, og at det deretter tilsettes kraft med jevne mellomrom?;Risotto;Mat_og_drikke;22d97f87-72a7-4664-b7f4-bb1eafbcd374
'Når det piper i telefonen som en sjøsyk...'. Hvilket instrument mangler i Knutsen & Ludvigsens 'Hallo! Hallo!'?;Fiolin;Musikk;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hvilken steinfrukt kommer svisker fra?;Plommer;Natur_og_miljø;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hvilken dansk fysiker utviklet kvantemekanikken og mottok Nobelprisen i 1922?;Niels Bohr (1885-1962);Naturvitenskap;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hvilken internasjonal miljøorganisasjon ble grunnlagt i Canada i 1971?;Greenpeace;Samfunn;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Nevn ett av de to kontinentene som har færrest territorier i et vanlig Risk-spill.;Australia og Sør-Amerika;Spill_og_lek;22d97f87-72a7-4664-b7f4-bb1eafbcd374
I hvilken sportsgren er legendariske Alain Prost og Ayrton Senna blitt verdensmestere?;Formel 1;Sport;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hvilket land kan man skrive av alle bokstavene i ordet 'garantien'?;Argentina;Språk;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hvem begår det første mordet det fortelles om i Bibelen?;Kain;Tradisjon_og_tro;22d97f87-72a7-4664-b7f4-bb1eafbcd374
Hva heter den ni år gamle jenta som er hovedperson i julekalenderserien 'Snøfall' på NRK?;Selma;TV_og_serier;22d97f87-72a7-4664-b7f4-bb1eafbcd374
I hvilken bokserie beskriver Laura Ingalls Wilder en families liv som nybyggere i USA på slutten av 1800-tallet?;Huset på prærien;Bøker;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilket annet navn enn fjellreve brukes om dyret på bilde D11?;Puma;Dyr;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilken forvirret heltinne spilles av Renée Zellweger i flere filmer hvor Colin Firth spiller hennes utkårede, Mr. Darcy?;Bridget Jones;Film;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilket europeisk land blir ofte kalt 'Alpelandet'?;Sveits;Geografi;02f37f9e-6167-4633-9972-4ea38fd75d51
I hvilket land var Fidel Castro president i flere tiår?;Cuba;Historie;02f37f9e-6167-4633-9972-4ea38fd75d51
Hva heter den av Facebooks fire gründere som også er sjef for firmaet?;Mark Zuckerberg (f. 1984);Hverdag;02f37f9e-6167-4633-9972-4ea38fd75d51
Hva slags suppe er en 'bouillabaisse'?;Fiskesuppe;Mat_og_drikke;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilken artist, som egentlig heter Elizabeth Woolridge Grant, har utgitt låtene 'Lust for Life', 'Born to Die' og 'Doin' Time'?;Lana Del Rey (f. 1985);Musikk;02f37f9e-6167-4633-9972-4ea38fd75d51
Hva kaller man vindstyrken som er ett trinn kraftigere enn frisk bris på Beaufortskalaen?;Liten kuling;Natur_og_miljø;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilket stjernebilde kan ses på bilde C2?;Kassiopeia;Naturvitenskap;02f37f9e-6167-4633-9972-4ea38fd75d51
Hva var navnet på den norskproduserte bilen som kom i 1956, og som ble laget i Lunde i Telemark?;Troll;Samfunn;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilke tre bokstaver er ikke i bruk når man spiller brettspillet Scrabble på norsk?;Q, X og Z;Spill_og_lek;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvor mange minutter varer en håndballkamp?;60;Sport;02f37f9e-6167-4633-9972-4ea38fd75d51
I hvilke to naboland snakker over 90 mill. av innbyggerne språket punjabi?;India og Pakistan;Språk;02f37f9e-6167-4633-9972-4ea38fd75d51
I en av Jesu lignelser unnlater en prest og en levitt å hjelpe en skadet person. Fra hvilken folkegruppe kommer personen som hjelper?;Samaritanere;Tradisjon_og_tro;02f37f9e-6167-4633-9972-4ea38fd75d51
Hvilken farge har i en årrekke preget sendingene til satireprogrammet 'Nytt på Nytt'?;Oransje;TV_og_serier;02f37f9e-6167-4633-9972-4ea38fd75d51
I hvilken historie av Charles Dickens møter vi fortidens, nåtidens og fremtidens ånd?;En julefortelling;Bøker;53b7b6e6-4062-4152-925f-6c8593e14840
Hvilken hesterase er et av Norges nasjonalsymboler?;Fjordhest (fjording);Dyr;53b7b6e6-4062-4152-925f-6c8593e14840
Hvilken stumfilmstjerne både skrev og spilte hovedrollen i filmen 'Gullfeber' fra 1925?;Charlie Chaplin (1889-1977);Film;53b7b6e6-4062-4152-925f-6c8593e14840
Nevn navnet på minst to av de fire amerikanske statene som begynner på Å.;Alabama, Alaska, Arizona og Arkansas;Geografi;53b7b6e6-4062-4152-925f-6c8593e14840
Hvilket land ga på 1880-tallet Frihetsgudinnen i gave til USA?;Frankrike;Historie;53b7b6e6-4062-4152-925f-6c8593e14840
Hva slags møbel kjøper man hvis man kjøper en 'Billy' på IKEA?;Hylle;Hverdag;53b7b6e6-4062-4152-925f-6c8593e14840
Hvilket ismerke finnes bl.a. i smaksvariantene What-a-lotta Chocolate og Chocolate Fudge Brownie?;Ben & Jerry's;Mat_og_drikke;53b7b6e6-4062-4152-925f-6c8593e14840
Hva er navnet til den norske EDM-artisten Kygo?;Kyrre Gørvell-Dahll (f. 1991);Musikk;53b7b6e6-4062-4152-925f-6c8593e14840
Hva kalles den sorte og finkornede bergarten som ble mye brukt på hustak i gamle dager?;Skifer;Natur_og_miljø;53b7b6e6-4062-4152-925f-6c8593e14840
Hva kalles gasstyper som har vanskelig for å reagere med andre grunnstoffer?;Edelgasser;Naturvitenskap;53b7b6e6-4062-4152-925f-6c8593e14840
BNP er et lands samlede produksjon av varer og tjenester i ett år. Hva står forkortelsen for?;Bruttonasjonalprodukt;Samfunn;53b7b6e6-4062-4152-925f-6c8593e14840
Hva er det norske navnet på sjongleringskleken som på spansk kalles 'diabolo'?;Djevelspill;Spill_og_lek;53b7b6e6-4062-4152-925f-6c8593e14840
Hva kalles den spilleren i amerikansk fotball som styrer angrepet og som ofte kaster ballen?;Quarterback;Sport;53b7b6e6-4062-4152-925f-6c8593e14840
Hvor mange år går det på et 'sekel'?;100;Språk;53b7b6e6-4062-4152-925f-6c8593e14840
I hvilken kristen høytid feirer man Den hellige ånds komme?;Pinse;Tradisjon_og_tro;53b7b6e6-4062-4152-925f-6c8593e14840
Hvilken tegnefilmserie handler om en 12-årig katt som har en dum, rosa kanin til far og en gullfisk ved navn Darwin som bestevenn?;Gumballs fantastiske verden;TV_og_serier;53b7b6e6-4062-4152-925f-6c8593e14840
