#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID
Et potetgull hvor alle løvene er likt formet selges i pappbøtter prydet av en bartefin herremann. Hvilket potetgullmerke?;Pringles;Hverdag;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken ost selges av TINE med koden G35?;Gudbrandsdalsost;Mat og drikke;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hva heter den engelske vuggesangen 'Twinkle, Twinkle, Little Star' på norsk?;Blinke, blinke stjerne lill;Musikk;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hva er det norske navnet på blomsten på bilde K17?;Pinselilje;Natur og miljø;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Grunnstoffet hafnium har fått navnet etter det latinske navnet på en hovedstad. Hvilken?;København;Naturvitenskap;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hva er fornavnet til den svenske kronprinsessen?;Victoria (f. 1977);Samfunn;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hva heter app-spillet hvor man skal føre monsteret Om Nom med godteri?;Cut the Rope;Spill og lek;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken amerikansk sykkelrytter vant Tour de France syv ganger, men ble fratatt alle seierne fordi han var dopet?;Lance Armstrong (f. 1971);Sport;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilket fremmedord brukes om en person som samler på mynter?;Numismatiker;Språk;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Svenskene feirer midsommer ved å pynte en trestang som den på bilde D10. Hva kalles den?;Maistang;Tradisjon og tro;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hvilken tidligere supermodell ble i 2003 programleder og dommer for programmet 'America's Next Top Model'?;Tyra Banks (f. 1973);TV og serier;1687ce01-fa5e-47c2-872a-1fdd6f0978e0
Hva er livretten til den ganske tykke og dovne katten Pusur i tegneserien til Jim Davis?;Lasagne;Bøker;e2696540-444d-4ffb-b1f0-5374cbb04753
Hva heter det lille grønne dyret som er livretten til marihøner?;Bladlus;Dyr;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilken idrett er den sentrale i high school-filmene 'Bring It On' fra 00-tallet?;Cheerleading;Film;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilken kanal, som er utgravd av mennesker, gjør det mulig å seile mellom Stillehavet og Atlanterhavet?;Panamakanalen;Geografi;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvem ble i 1994 den første til å nå både Nordpolen, Sydpolen og Mount Everest?;Erling Kagge (f. 1963);Historie;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilket ord brukes om den midterste delen av et sykkelhjul som eikene sitter fast på, og som kan ses på bilde P??;Nav;Hverdag;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilken råvare er hovedingrediensen i en sørlandsk kompe?;Potet;Mat og drikke;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilket yrke har en person som spiller på turntables?;DJ (diskjockey);Musikk;e2696540-444d-4ffb-b1f0-5374cbb04753
Hva kalles bladene som omkranser pollenbærerne i en blomst, og som gir blomsten sin farge?;Kronblader;Natur og miljø;e2696540-444d-4ffb-b1f0-5374cbb04753
Hva heter mannen på bilde R??;Neil Armstrong (1930-2012);Naturvitenskap;e2696540-444d-4ffb-b1f0-5374cbb04753
Hva heter øya utenfor Holmestrand i Oslofjorden som er Nord-Europas største mottak for farlig avfall?;Langøya;Samfunn;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvor mange kopper trenger man til en pyramideform når man speedstacker?;12;Spill og lek;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilken storby i USA har et lag i amerikansk fotball som har dyret på bilde R14 i lagnavnet?;Chicago (Chicago Bears);Sport;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilket navn mangler i uttrykket 'Når fjellet ikke kommer til …, må … komme til fjellet'?;Muhammed;Språk;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvordan lyder de første fire ordene i 'Luciasangen'?;Svart senker natten seg;Tradisjon og tro;e2696540-444d-4ffb-b1f0-5374cbb04753
Hvilket familienavn står sentralt i Skandinavias lengstlevende såpeserie, 'Hotel Cæsar'?;Anker-Hansen;TV og serier;e2696540-444d-4ffb-b1f0-5374cbb04753
Hva er det de to guttene i bokserien til Andy Griffiths bor i, som har mange etasjer?;Et trehus;Bøker;044987be-aa53-4a59-b774-3b50a97b5509
Hva heter Norges minste fugl som kan veie så lite som fem gram?;Fuglekonge (furulus);Dyr;044987be-aa53-4a59-b774-3b50a97b5509
I hvilken film fra 2015 kjemper dyretreneren Owen Grady mot den livsfarlige kjempen Indominus Rex?;Jurassic World;Film;044987be-aa53-4a59-b774-3b50a97b5509
Hvilket land må man reise til hvis man vil dykke ved korallrevet Great Barrier Reef?;Australia;Geografi;044987be-aa53-4a59-b774-3b50a97b5509
I hvilket århundre rammet sykdommen 'svartedauden' Europa?;Det 14. århundre (ca. 1347-52);Historie;044987be-aa53-4a59-b774-3b50a97b5509
Fra hvilket land kommer klesmerket Vero Moda?;Danmark;Hverdag;044987be-aa53-4a59-b774-3b50a97b5509
Hva kalles den lille kaken på bilde H16?;Makron;Mat og drikke;044987be-aa53-4a59-b774-3b50a97b5509
Hva heter det lille firestrengede gitarinstrumentet som stammer fra Hawaii?;Ukulele;Musikk;044987be-aa53-4a59-b774-3b50a97b5509
Hvilken gass, som har den kjemiske formelen CH₄, er hovedbestanddel i naturgass?;Metan;Natur og miljø;044987be-aa53-4a59-b774-3b50a97b5509
I hvilket stjernebilde finner man Karlsvognen?;Store bjørn;Naturvitenskap;044987be-aa53-4a59-b774-3b50a97b5509
G7 er en samling av syv ledende industrinasjoner. Hvilket asiatisk land er medlem av G7?;Japan;Samfunn;044987be-aa53-4a59-b774-3b50a97b5509
Hvilken fargekategori må man gå etter i et klassisk Trivial Pursuit-spill hvis man liker spørsmål om sport og fritid?;Oransje;Spill og lek;044987be-aa53-4a59-b774-3b50a97b5509
I hvilket land spiller fotballklubben FC Zenit sine hjemmekamper?;Russland (FC Zenit St. Petersburg);Sport;044987be-aa53-4a59-b774-3b50a97b5509
Fra hvilke to persongrupper får man ifølge et norsk ordspråk høre sannheten?;Barn og fulle folk;Språk;044987be-aa53-4a59-b774-3b50a97b5509
Hvilken høytidsdag feirer amerikanerne den fjerde torsdagen i november?;Thanksgiving;Tradisjon og tro;044987be-aa53-4a59-b774-3b50a97b5509
Hva heter familien man følger i den amerikanske animasjonsserien 'Family Guy'?;Griffin;TV og serier;044987be-aa53-4a59-b774-3b50a97b5509
Hvilken bok mottok Maja Lunde Bokhandlerprisen for i 2015?;Bienes historie;Bøker;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Det finnes både angorageiter, angorakatter og angoramarsvin. Hvilken fjerde dyrerase heter også angora?;Kanin;Dyr;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
I hvilken Oscar-vinnende film fra 1994 blir hovedpersonen både bordtennismester, maratonløper, krigshelt og rekebåteier?;Forrest Gump;Film;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hva heter hovedstaden i Sør-Korea?;Seoul;Geografi;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvem oppfant dynamitten på 1860-tallet?;Alfred Nobel (1833-96);Historie;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvilken hobby forbindes med Nikon og Olympus?;Fotografering;Hverdag;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hva heter nøttene på bilde A9?;Pistasjnøtter;Mat og drikke;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvilke fem ord følger etter linjen 'So am I wrong for thinking that we', som er starten på refrenget til Nico & Vinz-hiten 'Am I Wrong'?;... could be something for real;Musikk;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvilken velsmakende knoll finnes bl.a. i sortene blå kongo, asterix og pimpernel?;Potet;Natur og miljø;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvilket annet ord brukes om den alvorlige sykdommen som også blir kalt hjernehinnebetennelse?;Meningitt;Naturvitenskap;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvilket politisk parti ble stiftet i 1884 og er Norges eldste?;Venstre;Samfunn;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hva heter appen som er blitt lastet ned mer enn 3 mrd. ganger, og hvor man skal flytte rundt på godteribiter?;Candy Crush (Saga);Spill og lek;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hva heter den portugisiske fotballklubben som spiller sine hjemmekamper på Estádio da Luz i Lisabon?;S.L. Benfica;Sport;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hvilke tre engelske ord skjuler seg bak internettforkortelsen FTW, som man bruker om noe som bare er best?;For The Win;Språk;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
Hva kalles de muslimene som tilhører den største trosretningen innen islam?;Sunni-muslimer;Tradisjon og tro;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
På hvilken tv-kanal sendes programmene 'Livsfarlig fangst', 'Gullfeber' og 'Hvordan den lages'?;Discovery Channel;TV og serier;ddfa85d1-aaf1-4c81-a412-4d8854450c6d
