#separator:semicolon
#html:true
#columns:Question;Answer;Category;CardID;SourceFolder
Hvilket dyrs hode har den indiske guden Ganesha?;Elefant;Tradisjon_og_tro;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hva er navnet på festningen i Halden hvor TV 2-programmet 'Allsang på Grensen' spilles inn?;Fredriksten;TV_og_serier;747860af-bc91-4c38-ad87-697b09aaf9b0;008
Hvilket dyr flyr Nils Holgersen på i Selma Lagerlöfs historie om guttens forunderlige reise gjennom Sverige?;En gås;Bøker;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hvilken orden av pattedyr hører beveren til?;Gnagere;Dyr;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Filmen 'De Utrolige' handler om familien Parr som har superkrefter. Hvilket superheltnavn har Herr Utrolig sin kone, Helen?;Elastika;Film;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hva heter den lokale valutaen i Mexico?;Peso;Geografi;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hvilken engelsk prinsesse var mor til kong Olav 5.?;Dronning Maud (1869-1938);Historie;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hvilket tilnavn har den litt tynnere iPaden som Apple kom med i 2013?;Air;Hverdag;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hva kalles jordstengelen som ses på bilde Q5?;Ingefær;Mat_og_drikke;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hva heter låten fra 2018 som den tidligere fotballspilleren Mads Hansen ble belønnet med Spellemannpris for?;Sommerkroppen;Musikk;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hva heter skytypen som den islandske vulkan Eyjafjallajökull utløste i 2010, og som stoppet flytrafikken?;Askesky;Natur_og_miljø;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hvilket annet norsk navn brukes om Polarstjernen?;Nordstjernen (på latin 'Polaris');Naturvitenskap;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hvis man har én av hver av de nåværende norske pengesedlene, hvor mye penger har man til sammen da?;1 850 kr;Samfunn;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hva heter kongen av Koopaene, som er Marios erkefiende i Super Mario-spillene?;Bowser;Spill_og_lek;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
I hvilken idrett er Anne Margrethe Hausken Nordberg og Olav Lundanes verdensmestere?;Orientering;Sport;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hvilken ukedag heter 'Mittwoch' på tysk?;Onsdag;Språk;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Hva heter den hinduistiske guden som er kjent som 'ødeleggeren'?;Shiva;Tradisjon_og_tro;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
I hvilken amerikansk komiserie møter man den jentegærne Barney Stinson, som spilles av Neil Patrick Harris?;How I Met Your Mother;TV_og_serier;57a71b86-46cb-4e81-95ff-3965c2adcf34;008
Elina elsker hester - og spesielt rideskolens hvite shetlandsponni. Hva heter Elinas kjære hest i bokserien av Lin Hallberg?;Sigge;Bøker;bbe147b2-0d8c-443b-b610-c86559185216;008
Hva heter fuglen på bilde G11 som av og til besøker Sør-Norge?;Skjestork;Dyr;bbe147b2-0d8c-443b-b610-c86559185216;008
Filmen 'Maleficent' med Angelina Jolie forteller hvordan en god fe blir til en ond heks. Hvilket klassisk eventyr bygger filmen på?;Tornerose;Film;bbe147b2-0d8c-443b-b610-c86559185216;008
Hva kalles verdensdelen som Australia er en del av?;Oseania;Geografi;bbe147b2-0d8c-443b-b610-c86559185216;008
Hvilket land forsøkte å invadere Sverige i den såkalte 'Tyttebærkrigen', men måtte trekke seg tilbake 29. september 1788?;Norge;Historie;bbe147b2-0d8c-443b-b610-c86559185216;008
Hva heter koden man må taste inn på mobiltelefonen hvis man har tastet feil PIN-kode til SIM-kortet tre ganger på rad?;PUK-kode;Hverdag;bbe147b2-0d8c-443b-b610-c86559185216;008
Hvilket fransk ord brukes om en krem som er laget av sjokolade blandet med varm fløte og ofte brukes som fyll i kaker?;Ganache;Mat_og_drikke;bbe147b2-0d8c-443b-b610-c86559185216;008
Hvilken nordisk artist har gitt ut mange album med titler på ett ord, som 'Debut', 'Homogenic', 'Vespertine', 'Volta' og 'Utopia'?;Björk (f. 1965);Musikk;bbe147b2-0d8c-443b-b610-c86559185216;008
Hvilket annet navn brukes om såkalte haugskyer, som meteorologen også kaller kumulusskyer?;Blomkålskyer;Natur_og_miljø;bbe147b2-0d8c-443b-b610-c86559185216;008
Når man skal lage en norsk femkroning, er 25 % av materialet det grunnstoffet som har nummer 28 i det periodiske system. Hvilket?;Nikkel;Naturvitenskap;bbe147b2-0d8c-443b-b610-c86559185216;008
I hvilken kommune ligger Sametinget, som ble åpnet i 1989?;Karasjok;Samfunn;bbe147b2-0d8c-443b-b610-c86559185216;008
Hva kaller vinneren seg i kortspillet der taperen kalles 'boms'?;President;Spill_og_lek;bbe147b2-0d8c-443b-b610-c86559185216;008
Fra hvilket land kommer basketballstjernen Dirk Nowitzki, som er blant de mestscorende spillerne i NBA noensinne?;Tyskland;Sport;bbe147b2-0d8c-443b-b610-c86559185216;008
Adjektivet 'høy' kan bøyes i tre grader. Hva heter ordet i tredje grad, som også kalles superlativ?;Høyest;Språk;bbe147b2-0d8c-443b-b610-c86559185216;008
Hva heter mannen som i Bibelen får ordre fra Gud om å ofre sin sønn Isak?;Abraham;Tradisjon_og_tro;bbe147b2-0d8c-443b-b610-c86559185216;008
Hvilket TV-2-program forbindes med programleder Vår Staude, kokk Wenche Andersen og blomsterdekoratør Finn Schjøll?;God morgen Norge;TV_og_serier;bbe147b2-0d8c-443b-b610-c86559185216;008
Hva heter det tredje bindet i serien om Harry Potter?;Harry Potter og fangen fra Azkaban;Bøker;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilken apeart tilhørte Pippi Langstrømpes tamme ape Herr Nilsson? Apearten er også kjent for sine sorte avtegninger i ansiktet.;Ekornape;Dyr;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hva heter prisen som deles ut i forbindelse med Den norske filmfestivalen i Haugesund?;Amanda;Film;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hva heter det berømte og nesten seks km høye fjellet som kan ses på bilde F18?;Kilimanjaro;Geografi;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilken tysker bygde i 1885 et kjøretøy med tre hjul, som regnes som verdens første motordrevne personbil?;(Carl Friedrich) Benz (1844-1929);Historie;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilket sosialt nettverk, hvor man kan dele bilder og gode idéer, ble oppfunnet av Paul Sciarra, Evan Sharp og Ben Silbermann?;Pinterest;Hverdag;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hva heter den porøse melkesjokoladen til Nidar?;Stratos;Mat_og_drikke;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hva heter Imagine Dragons' store hit fra 2012 som lå på den amerikanske Billboard-lista i nesten to år?;Radioactive;Musikk;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilket grantre er et populært juletre og har navn etter en finsk naturforsker?;Nordmannsgran (nordmannsedelgran);Natur_og_miljø;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilket menneskelig organ produserer væsken som kalles galle?;Leveren;Naturvitenskap;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilket guttenavn var det mest populære til nyfødte norske barn i 2020?;Jakob;Samfunn;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hva heter dansen hvor det gjelder å gå lavest mulig bakoverboyd under en stang?;Limbo;Spill_og_lek;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvor mange perioder spilles det i en ishockeykamp?;3;Sport;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvilken bokstav skrives med tre prikker i morsealfabetet?;S;Språk;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hvem i norrøn mytologi er datter av Njord, bor i Folkvang og er en fruktbarhetsgudinne?;Frøya;Tradisjon_og_tro;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Hva heter den ganske ustabile klovnen i tv-serien 'The Simpsons'?;Krusty (the Clown);TV_og_serier;6c754e8d-643e-4ce4-98dd-8c1329655065;008
Philip Pullman utga i 1995 en fantasyroman om jenta Lyra som virvles inn i et eventyr på jakt etter vennen sin Roger. Hva heter boken?;Det gylne kompasset;Bøker;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hvithaien er den haiarten som oftest tar livet av mennesker. På de neste plassene kommer oksehai, og hvilken annen haiart?;Tigerhai;Dyr;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hva heter dragen som har erobret kongeriket Erebor i filmene om 'Hobbitten'?;Smaug;Film;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hvilken amerikansk stat er den eneste som begynner på H?;Hawaii;Geografi;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hva er fornavnet til Gustav Vigelands mindre kjente bror, som har utsmykket en rekke kirkebygg og har et eget mausoleum på Slemdal i Oslo?;Emanuel (1875-1948);Historie;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hva betyr vaskemerket på bilde C12?;Tåler ikke trommetørking;Hverdag;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hvilken omreisende gruppe på fire kokker ga i 2011 ut kokeboken 'Den aller beste, lureste og mest praktiske kokeboken'?;The Flying Culinary Circus;Mat_og_drikke;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hvilken DJ Baauer-melodi ble i 2013 en hit fordi folk lagde YouTube-videoer hvor de danset vilt til sangen?;Harlem Shake;Musikk;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
I hvilket land var det i 2011 et jordskjelv der tusenvis av mennesker døde, og et atomkraftverk fikk store skader?;Japan;Natur_og_miljø;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Verdens første Nobelpris i fysikk ble gitt til en tysker som hadde oppdaget noen spesielle stråler. Hva var etternavnet hans?;Röntgen (Wilhelm Conrad Röntgen, 1845-1923);Naturvitenskap;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hva heter avisen for barn og unge som Aftenposten i 2012 begynte å utgi hver tirsdag?;Junior (Aftenposten Junior);Samfunn;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
I hvilken lekefigurserie finner man Grimlock og Optimus Prime, som man også har kunnet se på TV og kino?;Transformers;Spill_og_lek;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hva heter det vårlige skirennnet som arrangeres av Geilо IL og som går fra Finse til Ustaoset?;Skarverennet;Sport;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hvilken språkfamilie hører de nordiske språkene norsk, dansk, svensk, færøysk og islandsk til?;Den germanske;Språk;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
På hvilken dato feires Valentinsdagen, som på norsk også kalles alle hjerters dag?;14. februar;Tradisjon_og_tro;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hvem vant realityserien 'Farmen' på TV 2 i 2001 og har siden ledet programmet i en årrekke?;Gaute Grøtta Grav (f. 1979);TV_og_serier;36fefb17-8ccd-447a-9e3a-32fb8cc61732;008
Hva er etternavnet til London-familien som tar til seg bjørnen Paddington?;Brun (Brown);Bøker;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hva heter verdens største tannhval, som også lever i Norskehavet?;Spermhval (kaskelott);Dyr;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
'Dum og Dummere'-filmene handler om de to snille, men utrolig dumme vennene Lloyd og Harry. Hvem spiller Lloyd med brukket fortann?;Jim Carrey (f. 1962);Film;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hva heter odden sør for Sør-Amerika, hvor Atlanterhavet og Stillehavet møtes?;Kapp Horn;Geografi;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hvilket lite land ble invadert av Irak i august 1990, noe som var starten på Golfkrigen?;Kuwait;Historie;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
I 2019 begynte det plutselig å vrimle av elsparksykler i Oslo. Hva heter det svenske selskapet som var først ute på markedet?;Voi;Hverdag;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hvilket fransk ord brukes om en type semulegryn som i Nord-Afrika ofte serveres med krydder, grønnsaker og kjøtt?;Couscous;Mat_og_drikke;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hvilken californisk artist, som bl.a. har hatt hiten 'Bad Guy', vant i 2020 Grammy for 'Årets album' - som den yngste noensinne?;Billie Eilish (O'Connell, f. 2001);Musikk;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hvilken frukt finnes bl.a. i sortene gravenstein, torstein og aroma?;Eple;Natur_og_miljø;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Mennesket har en kjertel som er på størrelse med en ert, og som kalles hypofysen. Hvilket organ sitter den rett under?;Hjernen;Naturvitenskap;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hvilken norsk avis har bl.a. hatt Harald Stanghelle, Anne Aasheim og John Arne Markussen som redaktører?;Dagbladet;Samfunn;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
I hvilken lekedukkeseerie kan man bl.a. få dukkene Draculaura og Frankie Stein?;Monster High;Spill_og_lek;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
I hvilken engelsk by spiller fotballklubben Aston Villa sine hjemmekamper?;Birmingham;Sport;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hvilket dyr heter 'Schmetterling' på tysk?;Sommerfugl;Språk;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Den 6. januar var tidligere en helligdag hvor man feiret at Jesusbarnet fikk besøk av Kaspar, Melkior og Baltasar. Hva kalles dagen?;Helligtrekongersdag (trettendedagen);Tradisjon_og_tro;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Fra hvilket land begynte den arabiske nyhetskanalen Al-Jazeera å sende i 1996?;Qatar;TV_og_serier;dea1d6df-413c-4eba-9acc-12a8ed778d28;008
Hva er den norske tittelen på dagbokserien som handler om 'Wimpy Kid'?;En pingles dagbok;Bøker;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilken ape får en iøynefallende rød bakdel når den er klar til å parre seg?;Bavian;Dyr;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hva heter animasjonsfilmen fra 2009 om en liten avfallsrobot som forelsker seg i roboten EVA?;Wall-E;Film;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
På bilde B9 er det et flagg. Hva kalles innbyggerne i landet som flagget kommer fra?;Polakker;Geografi;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvem ble rikskansler i Tyskland i 1933?;Adolf Hitler (1889-1945);Historie;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilken app forbindes med Lo-Fi, Earlybird og Rise?;Instagram (det er filtere);Hverdag;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Fra hvilket land stammer retten haggis, som er en pølse laget av innmat av får?;Skottland;Mat_og_drikke;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilket rockeband er bl.a. kjent for låtene 'Splitter pine', 'Stjernesludd' og 'Enhjørning'?;Dumdum Boys;Musikk;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilken blomsterslekt består av stemorsblomst og ca. 400 andre arter?;Fiol;Natur_og_miljø;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilket land har vunnet flest av de tre Nobelprisene innen vitenskap, dvs. i kjemi, fysikk og medisin?;USA;Naturvitenskap;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hva heter forsvarsalliansen som Norge ble medlem av i 1949?;NATO;Samfunn;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hva het den populære YouTube-kanalen til Dennis Vareide og Preben Fjell som ble nedlagt i 2018?;PrebzOgDennis;Spill_og_lek;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilken sykkelrytter har lov til å sykle i den trøyen som kan ses på bilde P9?;Verdensmesteren;Sport;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hvilket verb kommer fra det engelske ordet 'disrespect' og brukes på norsk om å rakke ned på noen?;Disse;Språk;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Denne kvinnen fra gresk mytologi ble halshugget av Perseus og hadde et blikk som kunne forsteine dem hun så på. Hva heter hun?;Medusa;Tradisjon_og_tro;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hva heter gården som bonden Frank og familien bor på i den danske serien 'Det gode bondeliv'?;Kastanjegården;TV_og_serier;2aaf7346-a6b0-4042-9bbb-51d74d1ffd63;008
Hva heter kapteinen i Jules Vernes roman 'En verdensomseiling under havet'?;Nemo;Bøker;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Haier og rokker hører til en klasse av fisker som har navn etter skjelettene sine. Hva er skjelettene deres laget av?;Brusk (bruskfisk);Dyr;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
I filmen 'The Nightmare Before Christmas' møter vi hovedpersonen Jack, som er kongen av Halloween. Hva er Jacks etternavn?;Skellington;Film;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
På hvilken øy heter den sørligste spissen Kapp Farvel?;Grønland;Geografi;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
I hvilket land overtok Kim Jong-un makten i 2011?;Nord-Korea;Historie;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hva heter attraksjonen i fornøyelsesparken Tusenfryd som tar deg fra 0 til 90 km/t på ca. to sekunder?;Speed Monster;Hverdag;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hvor på matpyramiden befinner kornprodukter seg?;Nederst;Mat_og_drikke;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hvilket amerikansk rockeband har hatt store hits med 'Under The Bridge' og 'Californication'?;Red Hot Chili Peppers;Musikk;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hvilken forkortelse brukes om møter der ledere fra hele verden samles for å diskutere klimaet, og som i 2016 fant sted i Marrakech?;COP (Conference of the Parties);Natur_og_miljø;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hvilken enhet bruker man for å måle elektrisk effekt?;Watt;Naturvitenskap;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hvilket norsk politisk parti har en stjerne i logoen?;Rødt;Samfunn;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hva heter den populære serien med dansevideospill som første gang ble utgitt av Wii i 2009?;Just Dance;Spill_og_lek;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hva heter den amerikanske bokseren som i 2015 vant over Manny Pacquiao i kampen som ble kalt 'Århundrets boksekamp'?;Floyd Mayweather (f. 1977);Sport;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hvilket uttrykk, som stammer fra tysk og egentlig betyr 'i full galopp', brukes når noe skal gjøres med en gang?;Sporenstreks;Språk;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hva er det siste ordet før man sier 'amen' i den kristne bønnen Faderv̊ar?;Evighet;Tradisjon_og_tro;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Til hvilken begivenhet, som finner sted første søndag i februar, må man betale over fem millioner dollar for å få vist en reklamefilm?;Super Bowl;TV_og_serier;5775fcdd-bf7f-4cb9-a9b5-184c1baa64a3;008
Hva heter den sortkledde hovedpersonen i Lise Myhres tegneserier?;Nemi;Bøker;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvilken fugleart, som lever på Sør-Amerikas vestkyst, har fått navn etter den tyske naturforskeren Alexander von Humboldt?;Pingvin (Humboldtpingvinen);Dyr;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvem spiller rollen som Ethan Hunt i actionfilmene 'Mission Impossible'?;Tom Cruise (f. 1962);Film;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
I hvilket land ligger Europas største havn, Rotterdam?;Nederland;Geografi;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvem åpnet sammen med sin mann Niels Onstad et kunstsenter på Høvikodden i Bærum i 1968?;Sonja Henie (1912-69);Historie;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvilket tall mellom 0 og 9 skrives med tre streker på en digitalklokke?;7;Hverdag;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvilken råvare forbindes spesielt med dansken Claus Pilgaard?;Chili (Chili-Klaus);Mat_og_drikke;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hva heter den svenske strømmetjenesten som i 2006 var en av de første til å tilby musikkstrømming?;Spotify;Musikk;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
På våren er det noen spesielle kirsebærtrær som blomstrer med masse rosa blomster. Hvilket land skal disse treene stamme fra?;Japan;Natur_og_miljø;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hva kalles en stein som etter en tur gjennom verdensrommet og ned gjennom atmosfæren lander på jorden?;Meteoritt;Naturvitenskap;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hva kalles en person som eier en aksjepost i et aksjeselskap?;Aksjonær;Samfunn;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvilket kort vil man gjerne ha tak i når man spiller 'Spardame'?;Ruter knekt;Spill_og_lek;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
I hvilket europeisk land hører fotballklubben APOEL Nicosia FC hjemme?;Kypros;Sport;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvilket ord mangler i ordspråket 'Små gryter har også …'?;Ører;Språk;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hvilken bibelsk person feires på sankthans?;Døperen Johannes;Tradisjon_og_tro;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
I hvilket TVNorge-program har Harald Eia og Einar Tørnquist utfordret sine komikervenner med spørsmål om vitenskapelige fenomener?;Brille;TV_og_serier;c49dcedc-e659-4c49-aa11-b6bfd644e02d;008
Hva heter spenningsserien til Jørn Lier Horst der Cecilia, Leo, Une og hunden Egon er hovedpersoner?;CLUE;Bøker;4844a924-b530-4404-b4b4-89de1f536196;008
Hva er det vanlige norske navnet på dyregruppen 'Amfibier'?;Padder;Dyr;4844a924-b530-4404-b4b4-89de1f536196;008
'Amatører! Idioter! Pappskaller og hengerumper!'. Hvilken norsk filmserie er kjent for dette fargerike språket?;Olsenbanden;Film;4844a924-b530-4404-b4b4-89de1f536196;008
Hvilket hav er jordens nest største?;Atlanterhavet;Geografi;4844a924-b530-4404-b4b4-89de1f536196;008
I hvilken by ligger Spansketrappen, som sto ferdig i 1725?;Roma;Historie;4844a924-b530-4404-b4b4-89de1f536196;008
Hvilket Mac-program har en logo som forestiller et ansikt med to øyne, en nese og en munn på lyseblå og mørkeblå bakgrunn?;Finder;Hverdag;4844a924-b530-4404-b4b4-89de1f536196;008
Hva heter de hvite bollene som man spiser sammen med kjøttboller når man får servert en klassisk hønssuppe?;Melboller;Mat_og_drikke;4844a924-b530-4404-b4b4-89de1f536196;008
For hvilken gang vant Norge Eurovision Song Contest da Alexander Rybak sang og spilte seg til seier i 2009?;Tredje (1985, 1995, 2009);Musikk;4844a924-b530-4404-b4b4-89de1f536196;008
Hva heter barnas egen miljøorganisasjon, som bl.a. har hatt kampanjen 'Ikke sint, bare veldig, veldig skuffet'?;Miljøagentene;Natur_og_miljø;4844a924-b530-4404-b4b4-89de1f536196;008
Hvilket grunnstoff utgjør hovedbestanddelen av solen?;Hydrogen;Naturvitenskap;4844a924-b530-4404-b4b4-89de1f536196;008
Hvilket dyr er Geoffrey, som er maskot for leketøykjeden Toys'R'Us?;Sjiraff;Samfunn;4844a924-b530-4404-b4b4-89de1f536196;008
Hva heter LEGO-serien hvor man kan leke med figurene Mia, Andrea og Stephanie?;(LEGO) Friends;Spill_og_lek;4844a924-b530-4404-b4b4-89de1f536196;008
I hvilken klubb startet Erling Braut Haaland sin fotballkarriere?;Bryne FK;Sport;4844a924-b530-4404-b4b4-89de1f536196;008
Hvilken norsk by kommer man fra hvis man er 'siddis'?;Stavanger;Språk;4844a924-b530-4404-b4b4-89de1f536196;008
Hva heter den verden hvor gudene bor i norrøn mytologi?;Åsgard;Tradisjon_og_tro;4844a924-b530-4404-b4b4-89de1f536196;008
I hvilket TVNorge-program kan man høre Anders Hatlos muntre kommentarer om kjendisters matlaging?;4-stjerners middag;TV_og_serier;4844a924-b530-4404-b4b4-89de1f536196;008
